Id,SalePrice
1461,141000
1462,135000
1463,183200
1464,183200
1465,153900
1466,160000
1467,130000
1468,156932
1469,124500
1470,119500
1471,145000
1472,83000
1473,88000
1474,148500
1475,109500
1476,275500
1477,227680
1478,315000
1479,132000
1480,315000
1481,250000
1482,185850
1483,140000
1484,160200
1485,179665
1486,174000
1487,178000
1488,143500
1489,176000
1490,185000
1491,250000
1492,76000
1493,137000
1494,167900
1495,190000
1496,189000
1497,146000
1498,160000
1499,148800
1500,154000
1501,160000
1502,216000
1503,189000
1504,207500
1505,184900
1506,132000
1507,190000
1508,120000
1509,162900
1510,135000
1511,120500
1512,135000
1513,158000
1514,88000
1515,144000
1516,144000
1517,137500
1518,80000
1519,207500
1520,100000
1521,128900
1522,135000
1523,91500
1524,109000
1525,110000
1526,98600
1527,105500
1528,103600
1529,119500
1530,139000
1531,124500
1532,80000
1533,62383
1534,107900
1535,87000
1536,115000
1537,35311
1538,107400
1539,90000
1540,37900
1541,90000
1542,128000
1543,239000
1544,68500
1545,121600
1546,80000
1547,110000
1548,105000
1549,105000
1550,126000
1551,128500
1552,135000
1553,37900
1554,107400
1555,113000
1556,110000
1557,37900
1558,140000
1559,37900
1560,136000
1561,80000
1562,127000
1563,129500
1564,108959
1565,172500
1566,129000
1567,108000
1568,222500
1569,95000
1570,117500
1571,119000
1572,129000
1573,144500
1574,127500
1575,180000
1576,204000
1577,126000
1578,90000
1579,129000
1580,185900
1581,147500
1582,90350
1583,144500
1584,172400
1585,131500
1586,72500
1587,96500
1588,119500
1589,135000
1590,100000
1591,52000
1592,89471
1593,121500
1594,97000
1595,37900
1596,117000
1597,200500
1598,200500
1599,118000
1600,124900
1601,89000
1602,110000
1603,91000
1604,173000
1605,173000
1606,123000
1607,81000
1608,220000
1609,176000
1610,167500
1611,116050
1612,171000
1613,140000
1614,129900
1615,81000
1616,75000
1617,75000
1618,106500
1619,129000
1620,108000
1621,146500
1622,160000
1623,132000
1624,179665
1625,109008
1626,82500
1627,185000
1628,219500
1629,165600
1630,189000
1631,189000
1632,189000
1633,180000
1634,185900
1635,161750
1636,142000
1637,200500
1638,163900
1639,82500
1640,190000
1641,100000
1642,155000
1643,186500
1644,207500
1645,135000
1646,145500
1647,119500
1648,81000
1649,139950
1650,109000
1651,82500
1652,83000
1653,88000
1654,148500
1655,119000
1656,148500
1657,148500
1658,148500
1659,123000
1660,132000
1661,284000
1662,175900
1663,315000
1664,315000
1665,179000
1666,315000
1667,275000
1668,326000
1669,315000
1670,315000
1671,315000
1672,220000
1673,275500
1674,202500
1675,185850
1676,185850
1677,185850
1678,274000
1679,315000
1680,254000
1681,171750
1682,315000
1683,202500
1684,162000
1685,174000
1686,160200
1687,174000
1688,165400
1689,174000
1690,183200
1691,183200
1692,177000
1693,173000
1694,173000
1695,170000
1696,185000
1697,156932
1698,271000
1699,181900
1700,271000
1701,260000
1702,179000
1703,179000
1704,185000
1705,260000
1706,282922
1707,176000
1708,176000
1709,227000
1710,185000
1711,215000
1712,147000
1713,184900
1714,154000
1715,205000
1716,176000
1717,105900
1718,52500
1719,173000
1720,220000
1721,105900
1722,52500
1723,155000
1724,147000
1725,214900
1726,162900
1727,99500
1728,173000
1729,214900
1730,112000
1731,62383
1732,132500
1733,128000
1734,135000
1735,117000
1736,115000
1737,184000
1738,290000
1739,151000
1740,147000
1741,185000
1742,160000
1743,160000
1744,154000
1745,154500
1746,187000
1747,162000
1748,171000
1749,119000
1750,98600
1751,190000
1752,100000
1753,81000
1754,176000
1755,132000
1756,132000
1757,109008
1758,135000
1759,129900
1760,129000
1761,139000
1762,162000
1763,137500
1764,117500
1765,137000
1766,135000
1767,135000
1768,82500
1769,147000
1770,119500
1771,139000
1772,112500
1773,119000
1774,136905
1775,100000
1776,128900
1777,120500
1778,110000
1779,87500
1780,119000
1781,129000
1782,80000
1783,110000
1784,107000
1785,105500
1786,93000
1787,107400
1788,52500
1789,100000
1790,64500
1791,75000
1792,100000
1793,119500
1794,120500
1795,109008
1796,139400
1797,105000
1798,113000
1799,119000
1800,86000
1801,91500
1802,111250
1803,155000
1804,135000
1805,100000
1806,105000
1807,87000
1808,93000
1809,94000
1810,143000
1811,97000
1812,37900
1813,87000
1814,80000
1815,90000
1816,64500
1817,107400
1818,107000
1819,114504
1820,52500
1821,93000
1822,107000
1823,55000
1824,110000
1825,139000
1826,110000
1827,79900
1828,113000
1829,58500
1830,107000
1831,90000
1832,37900
1833,130500
1834,107400
1835,113000
1836,91500
1837,84500
1838,85000
